$ node test4.js
2,1 1 1 1
3,1 1 1 2
3,2 2 1 1
4,1 1 1 4
4,2 2 1 1
4,3 3 2 1
5,1 1 1 8
5,2 2 1 3
5,3 3 2 1
5,4 4 4 1
6,1 1 1 17
6,2 2 1 5
6,3 3 2 2
6,4 4 4 1
6,5 5 9 1
7,1 1 1 37
7,2 2 1 12
7,3 3 2 5
7,4 4 4 2
7,5 5 9 1
7,6 6 20 1
8,1 1 1 85
8,2 2 1 25
8,3 3 2 10
8,4 4 4 4
8,5 5 9 2
8,6 6 20 1
8,7 7 48 1
9,1 1 1 200
9,2 2 1 60
9,3 3 2 22
9,4 4 4 10
9,5 5 9 4
9,6 6 20 2
9,7 7 48 1
9,8 8 115 1
10,1 1 1 486
10,2 2 1 140
10,3 3 2 53
10,4 4 4 21
10,5 5 9 9
10,6 6 20 4
10,7 7 48 2
10,8 8 115 1
10,9 9 286 1
11,1 1 1 1205
11,2 2 1 346
11,3 3 2 125
11,4 4 4 50
11,5 5 9 21
11,6 6 20 9
11,7 7 48 4
11,8 8 115 2
11,9 9 286 1
11,10 10 719 1
12,1 1 1 3047
12,2 2 1 859
12,3 3 2 308
12,4 4 4 119
12,5 5 9 49
12,6 6 20 20
12,7 7 48 9
12,8 8 115 4
12,9 9 286 2
12,10 10 719 1
12,11 11 1842 1
13,1 1 1 7813
13,2 2 1 2188
13,3 3 2 772
13,4 4 4 296
13,5 5 9 117
13,6 6 20 49
13,7 7 48 20
13,8 8 115 9
13,9 9 286 4
13,10 10 719 2
13,11 11 1842 1
13,12 12 4766 1
14,1 1 1 20299
14,2 2 1 5625
14,3 3 2 1967
14,4 4 4 740
14,5 5 9 290
14,6 6 20 116
14,7 7 48 48
14,8 8 115 20
14,9 9 286 9
14,10 10 719 4
14,11 11 1842 2
14,12 12 4766 1
14,13 13 12486 1
15,1 1 1 53272
15,2 2 1 14674
15,3 3 2 5074
15,4 4 4 1892
15,5 5 9 728
15,6 6 20 288
15,7 7 48 116
15,8 8 115 48
15,9 9 286 20
15,10 10 719 9
15,11 11 1842 4
15,12 12 4766 2
15,13 13 12486 1
15,14 14 32973 1
16,1 1 1 141083
16,2 2 1 38598
16,3 3 2 13258
16,4 4 4 4885
16,5 5 9 1863
16,6 6 20 723
16,7 7 48 287
16,8 8 115 115
16,9 9 286 48
16,10 10 719 20
16,11 11 1842 9
16,12 12 4766 4
16,13 13 12486 2
16,14 14 32973 1
16,15 15 87811 1
17,1 1 1 376464
17,2 2 1 102485
17,3 3 2 34940
17,4 4 4 12782
17,5 5 9 4815
17,6 6 20 1851
17,7 7 48 721
17,8 8 115 287
17,9 9 286 115
17,10 10 719 48
17,11 11 1842 20
17,12 12 4766 9
17,13 13 12486 4
17,14 14 32973 2
17,15 15 87811 1
17,16 16 235381 1
18,1 1 1 1011311
18,2 2 1 273979
18,3 3 2 92885
18,4 4 4 33713
18,5 5 9 12603
18,6 6 20 4786
18,7 7 48 1846
18,8 8 115 720
18,9 9 286 286
18,10 10 719 115
18,11 11 1842 48
18,12 12 4766 20
18,13 13 12486 9
18,14 14 32973 4
18,15 15 87811 2
18,16 16 235381 1
18,17 17 634847 1
19,1 1 1 2732470
19,2 2 1 737332
19,3 3 2 248639
19,4 4 4 89703
19,5 5 9 33263
19,6 6 20 12535
19,7 7 48 4775
19,8 8 115 1844
19,9 9 286 720
19,10 10 719 286
19,11 11 1842 115
19,12 12 4766 48
19,13 13 12486 20
19,14 14 32973 9
19,15 15 87811 4
19,16 16 235381 2
19,17 17 634847 1
19,18 18 1721159 1
[ 0,
  1,
  1,
  2,
  4,
  9,
  20,
  48,
  115,
  286,
  719,
  1842,
  4766,
  12486,
  32973,
  87811,
  235381,
  634847,
  1721159,
  4688676 ]
0 s, 28.789 ms
